,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating
210,10299047,2BR in eclectic JP neighborhood,42.31308412,-71.10511678,Apartment,4,1.0,2.0,2.0,94.0
211,9463444,"Cozy, bohemian Jamaica Plain studio",42.30918196,-71.1104931,Apartment,3,1.0,0.0,2.0,100.0
212,6465075,Spacious 5BR Condo Near Metro,42.29715508,-71.11190356,Condominium,10,2.0,5.0,6.0,94.0
214,9577988,"Spacious, well-located 2-bed apt",42.32243105,-71.11326558,Apartment,6,1.0,2.0,3.0,97.0
215,9971054,Cozy Room In JP,42.30337107,-71.11500731,Apartment,2,1.0,1.0,1.0,91.0
216,7348110,Luxury loft w/ beautiful city view,42.32436434,-71.10262149,Apartment,4,1.0,2.0,2.0,93.0
218,3021446,"Priv. bath, breakfast, parking, puppy, T in hip JP",42.31846335,-71.10792705,Apartment,2,1.0,1.0,1.0,92.0
219,7708436,"Your own bedroom, sitting room and bathroom near T",42.30983835,-71.107524,House,2,1.0,1.0,1.0,97.0
220,11514237,the apartment in the sky,42.31190937,-71.10675529,Apartment,2,1.0,1.0,2.0,98.0
221,13363171,"Colorful artist home, prime location!",42.31552926,-71.10240300000001,Apartment,2,1.0,1.0,1.0,100.0
222,11946029,Quiet and comfy in Jamaica Plain,42.32186357,-71.10374748,Apartment,2,1.0,1.0,1.0,93.0
223,6019555,Clean Comfortable Room in Modern Home Near Transit,42.29858047,-71.11026725,Townhouse,2,1.5,1.0,2.0,97.0
224,12052288,The City Cabin - 2 blocks to Subway,42.31627329999999,-71.10215681,Apartment,4,1.0,1.0,2.0,98.0
225,9676551,"Urban oasis, wonderful location!",42.31614913,-71.10503627,Apartment,2,1.0,1.0,1.0,95.0
226,12789527,"Private room, Boston with breakfast",42.31218843,-71.10566184,Apartment,2,1.0,1.0,1.0,100.0
227,12855005,Lg rm in beautiful Victorian,42.313421500000004,-71.10711859999999,House,2,2.0,1.0,1.0,100.0
228,1631942,Sweet penthouse in historic Boston,42.31131397,-71.11617069,Condominium,2,1.0,1.0,1.0,96.0
229,2884903,"Private Room, near JP Center & MBTA",42.30557708,-71.11367642,Apartment,2,1.0,1.0,1.0,94.0
231,13344433,Sun filled modern master suite and separate den,42.30637132,-71.11350717,House,3,1.0,2.0,1.0,98.0
232,40601,Private room & bath - Jamaica Plain,42.31509939,-71.11107897,House,2,1.0,1.0,1.0,100.0
233,12033661,A quiet and sunny room,42.3064969,-71.1116203,Bed & Breakfast,2,1.0,1.0,2.0,100.0
237,6921672,French Country 2bd/2bth Heart of JP,42.32133487,-71.10777320000001,Apartment,4,2.0,2.0,2.0,100.0
238,2219399,Sunny Private Room and Bath in JP,42.30073404,-71.11431097,Apartment,2,1.0,1.0,1.0,95.0
239,336960,JP Green House: Simple and Private,42.28965255,-71.11472079,House,3,1.0,1.0,2.0,92.0
240,336946,JP Green House: Garden Apartment,42.28825811,-71.11306692,House,3,1.0,1.0,2.0,93.0
241,6644330,Qn BR/deck/Jacuzzi/Superhost/JP Ctr,42.31214692,-71.10890828,Condominium,2,1.0,1.0,1.0,100.0
242,6939162,Unique Loft in Central JP Location,42.31303259,-71.11202441,Loft,4,1.5,1.0,1.0,100.0
243,13640138,336 Centre St Boston!,42.32152084,-71.10741009,Apartment,3,1.0,1.0,1.0,88.0
244,12593295,"Beautiful bedroom, cozy atmosphere",42.30450198,-71.11147205,Apartment,2,1.0,1.0,1.0,91.0
245,10004575,Pondside Spacious Condo,42.31968702,-71.11296925,Apartment,6,1.0,3.0,5.0,97.0
246,12855343,"Small, sweet, single-bed near T",42.31261825,-71.10620542,House,1,2.0,1.0,1.0,95.0
247,9791506,Entire Tree-Top 1BR Condo in JP on T + Parking,42.31246587,-71.10751981,Condominium,2,1.0,1.0,1.0,90.0
248,5801643,Idyllic Wooded Boston Neighborhood,42.29050284,-71.11642164,Apartment,2,1.0,1.0,1.0,75.0
250,5676025,Entire 2 bedroom spacious apartment,42.32274731,-71.11033371,Apartment,5,1.0,2.0,3.0,79.0
251,6104388,Spacious & Modern in Central JP,42.31277909,-71.10974082,Condominium,6,2.0,2.0,2.0,100.0
254,7495866,Hidden gem in Jamaica Plain,42.31576896,-71.11289367,Apartment,2,1.0,1.0,1.0,92.0
255,13623390,Cozy JP apt w/ short walk to T,42.30401959,-71.10493709,Apartment,2,1.0,1.0,1.0,96.0
256,3629014,Jamaica Plain's PINK ROOM,42.31779833,-71.1040344,House,5,1.0,1.0,2.0,100.0
257,10883063,spacious 3rd floor loft in home,42.32411924,-71.10669945,House,3,1.0,1.0,2.0,93.0
258,713627,"Retro Cool Artist's House, Parking",42.30957368,-71.10629241,House,2,1.5,1.0,1.0,80.0
259,4105704,Sunny Private Studio Aptmt,42.302364399999995,-71.11490982,House,2,1.0,1.0,1.0,98.0
260,3957602,The Hedges: Sunny urban garden home,42.31167891,-71.10613378,Bed & Breakfast,2,1.0,1.0,1.0,97.0
261,11739985,Two Room Master Suite with Spa Bath,42.3177898,-71.10489693,House,5,1.0,2.0,4.0,96.0
