,listing_id,name,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,City
3114,2934389,Charming 2BD Mapleleaf Condo,47.68790176927501,-122.32384593878214,Apartment,4,1.0,2.0,2.0,95.0,Seattle
3116,6652199,Private Room in Roosevelt,47.676477794578034,-122.31970707153437,House,2,1.0,1.0,1.0,100.0,Seattle
3118,4291,Sunrise in Seattle Master Suite,47.68725100864705,-122.313130273865,House,2,1.0,1.0,1.0,92.0,Seattle
3119,7018009,Near UW and Green Lake,47.68332737252482,-122.31222676825891,House,6,1.0,3.0,4.0,94.0,Seattle
3120,7661577,"MIL near shops, parks, transit & UW",47.67454018986318,-122.31569226682585,Apartment,4,1.0,1.0,2.0,100.0,Seattle
3121,7418814,Ravenna/Roosevelt Roost,47.674320588126676,-122.31314586273665,Apartment,4,1.0,1.0,2.0,98.0,Seattle
3122,4825073,Cute Basement Apartment,47.68336379408489,-122.31146741199706,House,4,1.0,2.0,2.0,100.0,Seattle
3124,8923774,Chic craftsman apartment,47.68511442487386,-122.31830485867307,Apartment,4,1.0,0.0,2.0,100.0,Seattle
3126,8953255,Modern Greenlake house on Roosevelt,47.677329218014705,-122.31783874206812,House,3,1.5,2.0,3.0,100.0,Seattle
3128,8559462,Bungalow-Style Maple Leaf Home,47.688410320598344,-122.31731748310877,House,6,1.0,1.0,1.0,100.0,Seattle
3130,1145941,"""Home away from Home"" a great spot",47.678572995652075,-122.31337910413605,House,6,1.5,3.0,4.0,93.0,Seattle
